iter	Logloss
0	0.6491455841
1	0.6045600891
2	0.5771081543
3	0.549961853
4	0.519263382
5	0.4985475922
6	0.4743961334
7	0.4555724716
8	0.4333226776
9	0.4151566315
10	0.404027977
11	0.3900320053
12	0.3765898132
13	0.3661608887
14	0.3560574341
15	0.3421179199
16	0.3302386856
17	0.3222151947
18	0.3135323715
19	0.3033631516
20	0.2956780624
21	0.2852440262
22	0.2777443504
23	0.271824894
24	0.2654866409
25	0.2606908226
26	0.2561435509
27	0.2474577141
28	0.2422415161
29	0.2393663216
30	0.2358785248
31	0.228993969
32	0.2247651863
33	0.2197874832
34	0.2164358521
35	0.2131690216
36	0.2081637001
37	0.2047697067
38	0.1987323952
39	0.1962620544
40	0.1910411835
41	0.1878677368
42	0.1854211617
43	0.1806083298
44	0.1770631409
45	0.1752713013
46	0.1738966751
47	0.1717865753
48	0.1683732224
49	0.1646980667
50	0.1606122971
51	0.1574536419
52	0.1552790642
53	0.1519394398
54	0.1483180618
55	0.1463219643
56	0.1433975029
57	0.1413245201
58	0.1405809021
59	0.1377259922
60	0.1354725361
61	0.1336832619
62	0.1318973923
63	0.1311123466
64	0.1286024475
65	0.1274226379
66	0.1245506096
67	0.1224604702
68	0.1205178928
69	0.1186157131
70	0.1156596184
71	0.1134444809
72	0.1113857079
73	0.1077319908
74	0.1064737892
75	0.1052292347
76	0.10358778
77	0.1008532906
78	0.09885000229
79	0.09653024673
80	0.09519039154
81	0.0927354908
82	0.09050831795
83	0.08786868095
84	0.08541543961
85	0.08495986938
86	0.08396287918
87	0.08205759048
88	0.08047537804
89	0.07846176147
90	0.07644650459
91	0.07480873585
92	0.07461219311
93	0.07261907578
94	0.07145528793
95	0.06933526993
96	0.06778958321
97	0.06572929382
98	0.06480611801
99	0.06414753914
